Participant id,Completion code,isinotree
6830cd2cb787d0ff958fd205,N/A,yes
675b0b540136e11e9f32dc8b,N/A,yes
682e0ea1cff542ffad285173,N/A,yes
63112d166c18ea59f6b05400,N/A,yes
5fefefa4c9707d3516361c9c,N/A,yes
5b5a822e1ad8270001c4f28d,N/A,yes
677f08ec6e5c69e32cf8e4a2,N/A,nootree
5ac50a19a3ba7a0001b4a483,N/A,nootree
65577234800b1fea9ae3cf4d,N/A,yes
67d8663809a5fc39ac402f65,N/A,nootree
6855f9866042121d00196eae,waitingbonus,yes
66b1ebdbc33d487474a5cef5,noconsent,yes
678af0a3161e3e871bbade54,noconsent,yes
