Topic,Scenario_no,code,Title,PoliticalFrame,Text,Against,Neutral,For
Immigrants,1a,s1_n,Vecinos ruidosos,Non-political,"Durante las últimas semanas, algunos vecinos han estado preocupados por los fuertes ruidos procedentes de una de las casas. La familia que vive en esa casa es una pareja con un niño pequeño. Acaban de mudarse. Cuando los vecinos llamaron a la puerta, nadie respondió. Un vecino sospecha que el ruido a veces se parece al llanto de un niño y quiere llamar al asistente social para que controle a la familia. Otro se opone por cuestiones de privacidad y prefiere dejar que la familia gestione su propio problema. Otros dicen que aún no está claro y que hay que dejar una nota a la familia sobre nuestras preocupaciones.",No debemos hacer nada.,Deberíamos dejar una nota a la familia.,Deberíamos llamar a los trabajadores sociales.
Immigrants,1a,s1_p,Vecinos ruidosos,Political,"Durante las últimas semanas, algunos vecinos han estado preocupados por los fuertes ruidos procedentes de una de las casas. La familia que vive en esa casa es una pareja con un niño pequeño. Acaban de emigrar de otro país. Cuando los vecinos llamaron a la puerta, nadie respondió. Un vecino sospecha que el ruido a veces se parece al llanto de un niño y quiere llamar al asistente social para que controle a la familia. Otro se opone por cuestiones de privacidad y prefiere dejar que la familia gestione su propio problema. Otros dicen que aún no está claro y que hay que dejar una nota a la familia sobre nuestras preocupaciones.",No debemos hacer nada.,Deberíamos dejar una nota a la familia.,Deberíamos llamar a los trabajadores sociales.
Immigrants,1b,s2_n,Una nueva familia en el barrio,Non-political,"Una nueva familia quiere mudarse a una de las casas del barrio. Algunos vecinos dicen que es bueno tener nuevos miembros en la comunidad y están dispuestos a acoger a la nueva familia. Otros, sin embargo, están preocupados porque añadir otra familia más podría saturar los servicios comunitarios, por lo que no quieren dar la bienvenida a la nueva familia. Algunos vecinos sugieren entrevistar a la familia antes de permitir que se instale.",No debemos acoger a la familia.,Deberíamos entrevistar a la familia primero.,Deberíamos acoger a la familia.
Immigrants,1b,s2_p,Una nueva familia en el barrio,Political,"Una nueva familia quiere mudarse a una de las casas del barrio. Algunos vecinos dicen que es bueno tener nuevos miembros en la comunidad y están dispuestos a acoger a la nueva familia. Otros, sin embargo, están preocupados porque la familia son inmigrantes con antecedentes culturales y estilos de vida diferentes a los de la mayoría de los residentes, por lo que no quieren dar la bienvenida a la nueva familia. Algunos vecinos sugieren entrevistar a la familia antes de permitir que se instale.",No debemos acoger a la familia.,Deberíamos entrevistar a la familia primero.,Deberíamos acoger a la familia.
Corruption,2a,s3_n,El encargado de mantenimiento,Non-political,"Las tuberías de agua de la comunidad son muy viejas y necesitan frecuentes reparaciones de mantenimiento.La comunidad tiene un contrato fijo con la compañía suministradora para las reparaciones.Sin embargo, es difícil localizar al técnico que debe venir y algunos vecinos creen que está haciendo demasiados trabajos en otros sitios.Algunos quieren denunciarle a la compañía porque la comunidad no parece beneficiarse mucho de él. Otros están en contra, ya que esto podría enfadar al reparador y arreglaría las cosas aún más despacio. Otros quieren esperar a ver qué dice el reparador.",No debemos denunciar al reparador.,Deberíamos discutirlo con el técnico.,Deberíamos denunciar al reparador.
Corruption,2a,s3_p,El encargado de mantenimiento,Political,"Las tuberías de agua de la comunidad son muy viejas y necesitan frecuentes reparaciones de mantenimiento. La comunidad tiene un contrato fijo con la compañía suministradora para las reparaciones. Últimamente, es difícil localizar al reparador y algunos vecinos piensan que quiere un soborno para venir más rápido a su comunidad en vez de hacer otros trabajos en otro sitio. Algunos quieren denunciarlo a la empresa de servicios públicos porque parece que la comunidad no se beneficia mucho de él. Otros están en contra, ya que esto podría enfadar al reparador y arreglaría las cosas aún más despacio. Otros quieren esperar a ver qué dice el reparador.",No debemos denunciar al reparador.,Deberíamos discutirlo con el técnico.,Deberíamos denunciar al reparador.
Corruption,2b,s4_n,La empresa de jardinería,Non-political,El jardín comunitario no se ha mantenido durante mucho tiempo.La comunidad celebrará pronto su décimo aniversario y sería estupendo celebrarlo en el jardín.Un vecino propone contratar a una empresa de jardinería «Rose» para revitalizarlo y ponerlo al servicio de todos.El coste sería bastante elevado.Algunos vecinos dudan en pagar porque es algo que podemos hacer nosotros mismos.Otros vecinos están dispuestos a pagar porque ahorra tiempo. Algunos quieren explorar otras empresas.,Deberíamos ocuparnos nosotros mismos de la jardinería.,Deberíamos explorar otras empresas.,Deberíamos contratar a la empresa de jardinería 'Rose'.
Corruption,2b,s4_p,La empresa de jardinería,Political,El jardín comunitario no se ha mantenido durante mucho tiempo. La comunidad celebrará pronto su décimo aniversario y sería estupendo celebrarlo en el jardín. Un vecino propone contratar a una empresa «Rose» para que lo revitalice para uso de todos. El coste sería bastante elevado. Algunos vecinos dudan en pagar porque la empresa es propiedad del hermano del vecino y parece nepotismo. Otros vecinos están dispuestos a pagar porque ahorra tiempo. Algunos quieren explorar otras empresas.,Deberíamos ocuparnos nosotros mismos de la jardinería.,Deberíamos explorar otras empresas.,Deberíamos contratar a la empresa de jardinería 'Rose'.
Climate change,3a,s5_n,Contratación de empresa de gestión de residuos,Non-political,"Hace unos días, su pueblo sufrió una riada repentina que provocó la acumulación de barro y basura en la carretera principal de la comunidad.Algunos vecinos sugieren contratar un servicio privado de gestión de residuos de buena calidad para que limpie el montón mucho mejor de lo que puede hacerlo el vecindario.Algunos vecinos argumentan que podemos ahorrar dinero haciendo una jornada para limpiar el barro y la basura por nuestra cuenta.Algunos vecinos argumentan que debemos evaluar los daños antes de tomar una decisión.",No debemos contratar la gestión privada de residuos.,Primero debemos evaluar los daños antes de tomar una decisión.,Deberíamos contratar el servicio privado de gestión de residuos.
Climate change,3a,s5_p,Contratación de empresa de gestión de residuos,Political,"Hace unos días, su pueblo sufrió una inundación repentina que provocó la acumulación de barro y basura en la carretera principal de la comunidad. Algunos vecinos sugieren contratar un servicio de gestión de residuos respetuoso con el clima para que no sólo limpie el montón sino que también recicle de acuerdo con las directrices de protección del clima. Algunos vecinos sostienen que podemos ahorrar dinero dedicando un día a limpiar el barro y la basura por nuestra cuenta. Algunos vecinos sostienen que deberíamos evaluar los daños antes de tomar una decisión.",No debemos contratar la gestión privada de residuos.,Primero debemos evaluar los daños antes de tomar una decisión.,Deberíamos contratar el servicio privado de gestión de residuos.
