id_in_session,participant_code,_is_bot,id,id_in_group,_payoff,round_number,_role,scenario,discussion_grp,old_response,new_response,forced_response,nudge_training,nudge_training_two,nudge_training_three,nudge_training_text,correct_nudge_training,old_response_text,attention_check,prev_majority,neighbor_responses,subsession_id,group_id,participant_id,session_id
1,7kzadw5c,0,4481,1,0,1,,,,,,0,,,,,,,0,,,321,461,225,17
2,5lr2h27y,0,4482,2,0,1,,,,,,0,,,,,,,0,,,321,461,226,17
3,w2dy4qf7,0,4483,3,0,1,,,,,,0,,,,,,,0,,,321,461,227,17
4,8d2td72b,0,4484,4,0,1,,,,,,0,,,,,,,0,,,321,461,228,17
1,7kzadw5c,0,4485,1,0,2,,,,,,0,,,,,,,0,,,322,462,225,17
2,5lr2h27y,0,4486,2,0,2,,,,,,0,,,,,,,0,,,322,462,226,17
3,w2dy4qf7,0,4487,3,0,2,,,,,,0,,,,,,,0,,,322,462,227,17
4,8d2td72b,0,4488,4,0,2,,,,,,0,,,,,,,0,,,322,462,228,17
1,7kzadw5c,0,4489,1,0,3,,,,,,0,,,,,,,0,,,323,463,225,17
2,5lr2h27y,0,4490,2,0,3,,,,,,0,,,,,,,0,,,323,463,226,17
3,w2dy4qf7,0,4491,3,0,3,,,,,,0,,,,,,,0,,,323,463,227,17
4,8d2td72b,0,4492,4,0,3,,,,,,0,,,,,,,0,,,323,463,228,17
1,7kzadw5c,0,4493,1,0,4,,,,,,0,,,,,,,0,,,324,464,225,17
2,5lr2h27y,0,4494,2,0,4,,,,,,0,,,,,,,0,,,324,464,226,17
3,w2dy4qf7,0,4495,3,0,4,,,,,,0,,,,,,,0,,,324,464,227,17
4,8d2td72b,0,4496,4,0,4,,,,,,0,,,,,,,0,,,324,464,228,17
1,7kzadw5c,0,4497,1,0,5,,,,,,0,,,,,,,0,,,325,465,225,17
2,5lr2h27y,0,4498,2,0,5,,,,,,0,,,,,,,0,,,325,465,226,17
3,w2dy4qf7,0,4499,3,0,5,,,,,,0,,,,,,,0,,,325,465,227,17
4,8d2td72b,0,4500,4,0,5,,,,,,0,,,,,,,0,,,325,465,228,17
1,7kzadw5c,0,4501,1,0,6,,,,,,0,,,,,,,0,,,326,466,225,17
2,5lr2h27y,0,4502,2,0,6,,,,,,0,,,,,,,0,,,326,466,226,17
3,w2dy4qf7,0,4503,3,0,6,,,,,,0,,,,,,,0,,,326,466,227,17
4,8d2td72b,0,4504,4,0,6,,,,,,0,,,,,,,0,,,326,466,228,17
1,7kzadw5c,0,4505,1,0,7,,,,,,0,,,,,,,0,,,327,467,225,17
2,5lr2h27y,0,4506,2,0,7,,,,,,0,,,,,,,0,,,327,467,226,17
3,w2dy4qf7,0,4507,3,0,7,,,,,,0,,,,,,,0,,,327,467,227,17
4,8d2td72b,0,4508,4,0,7,,,,,,0,,,,,,,0,,,327,467,228,17
1,7kzadw5c,0,4509,1,0,8,,,,,,0,,,,,,,0,,,328,468,225,17
2,5lr2h27y,0,4510,2,0,8,,,,,,0,,,,,,,0,,,328,468,226,17
3,w2dy4qf7,0,4511,3,0,8,,,,,,0,,,,,,,0,,,328,468,227,17
4,8d2td72b,0,4512,4,0,8,,,,,,0,,,,,,,0,,,328,468,228,17
1,7kzadw5c,0,4513,1,0,9,,,,,,0,,,,,,,0,,,329,469,225,17
2,5lr2h27y,0,4514,2,0,9,,,,,,0,,,,,,,0,,,329,469,226,17
3,w2dy4qf7,0,4515,3,0,9,,,,,,0,,,,,,,0,,,329,469,227,17
4,8d2td72b,0,4516,4,0,9,,,,,,0,,,,,,,0,,,329,469,228,17
1,7kzadw5c,0,4517,1,0,10,,,,,,0,,,,,,,0,,,330,470,225,17
2,5lr2h27y,0,4518,2,0,10,,,,,,0,,,,,,,0,,,330,470,226,17
3,w2dy4qf7,0,4519,3,0,10,,,,,,0,,,,,,,0,,,330,470,227,17
4,8d2td72b,0,4520,4,0,10,,,,,,0,,,,,,,0,,,330,470,228,17
1,7kzadw5c,0,4521,1,0,11,,,,,,0,,,,,,,0,,,331,471,225,17
2,5lr2h27y,0,4522,2,0,11,,,,,,0,,,,,,,0,,,331,471,226,17
3,w2dy4qf7,0,4523,3,0,11,,,,,,0,,,,,,,0,,,331,471,227,17
4,8d2td72b,0,4524,4,0,11,,,,,,0,,,,,,,0,,,331,471,228,17
1,7kzadw5c,0,4525,1,0,12,,,,,,0,,,,,,,0,,,332,472,225,17
2,5lr2h27y,0,4526,2,0,12,,,,,,0,,,,,,,0,,,332,472,226,17
3,w2dy4qf7,0,4527,3,0,12,,,,,,0,,,,,,,0,,,332,472,227,17
4,8d2td72b,0,4528,4,0,12,,,,,,0,,,,,,,0,,,332,472,228,17
1,7kzadw5c,0,4529,1,0,13,,,,,,0,,,,,,,0,,,333,473,225,17
2,5lr2h27y,0,4530,2,0,13,,,,,,0,,,,,,,0,,,333,473,226,17
3,w2dy4qf7,0,4531,3,0,13,,,,,,0,,,,,,,0,,,333,473,227,17
4,8d2td72b,0,4532,4,0,13,,,,,,0,,,,,,,0,,,333,473,228,17
1,7kzadw5c,0,4533,1,0,14,,,,,,0,,,,,,,0,,,334,474,225,17
2,5lr2h27y,0,4534,2,0,14,,,,,,0,,,,,,,0,,,334,474,226,17
3,w2dy4qf7,0,4535,3,0,14,,,,,,0,,,,,,,0,,,334,474,227,17
4,8d2td72b,0,4536,4,0,14,,,,,,0,,,,,,,0,,,334,474,228,17
1,7kzadw5c,0,4537,1,0,15,,,,,,0,,,,,,,0,,,335,475,225,17
2,5lr2h27y,0,4538,2,0,15,,,,,,0,,,,,,,0,,,335,475,226,17
3,w2dy4qf7,0,4539,3,0,15,,,,,,0,,,,,,,0,,,335,475,227,17
4,8d2td72b,0,4540,4,0,15,,,,,,0,,,,,,,0,,,335,475,228,17
1,7kzadw5c,0,4541,1,0,16,,,,,,0,,,,,,,0,,,336,476,225,17
2,5lr2h27y,0,4542,2,0,16,,,,,,0,,,,,,,0,,,336,476,226,17
3,w2dy4qf7,0,4543,3,0,16,,,,,,0,,,,,,,0,,,336,476,227,17
4,8d2td72b,0,4544,4,0,16,,,,,,0,,,,,,,0,,,336,476,228,17
1,7kzadw5c,0,4545,1,0,17,,,,,,0,,,,,,,0,,,337,477,225,17
2,5lr2h27y,0,4546,2,0,17,,,,,,0,,,,,,,0,,,337,477,226,17
3,w2dy4qf7,0,4547,3,0,17,,,,,,0,,,,,,,0,,,337,477,227,17
4,8d2td72b,0,4548,4,0,17,,,,,,0,,,,,,,0,,,337,477,228,17
1,7kzadw5c,0,4549,1,0,18,,,,,,0,,,,,,,0,,,338,478,225,17
2,5lr2h27y,0,4550,2,0,18,,,,,,0,,,,,,,0,,,338,478,226,17
3,w2dy4qf7,0,4551,3,0,18,,,,,,0,,,,,,,0,,,338,478,227,17
4,8d2td72b,0,4552,4,0,18,,,,,,0,,,,,,,0,,,338,478,228,17
1,7kzadw5c,0,4553,1,0,19,,,,,,0,,,,,,,0,,,339,479,225,17
2,5lr2h27y,0,4554,2,0,19,,,,,,0,,,,,,,0,,,339,479,226,17
3,w2dy4qf7,0,4555,3,0,19,,,,,,0,,,,,,,0,,,339,479,227,17
4,8d2td72b,0,4556,4,0,19,,,,,,0,,,,,,,0,,,339,479,228,17
1,7kzadw5c,0,4557,1,0,20,,,,,,0,,,,,,,0,,,340,480,225,17
2,5lr2h27y,0,4558,2,0,20,,,,,,0,,,,,,,0,,,340,480,226,17
3,w2dy4qf7,0,4559,3,0,20,,,,,,0,,,,,,,0,,,340,480,227,17
4,8d2td72b,0,4560,4,0,20,,,,,,0,,,,,,,0,,,340,480,228,17
