participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.id,player._payoff,player.round_number,player._role,player.scenario,player.discussion_grp,player.old_response,player.new_response,player.forced_response,player.nudge_training,player.nudge_training_two,player.nudge_training_three,player.nudge_training_text,player.correct_nudge_training,player.old_response_text,player.attention_check,player.prev_majority,player.neighbor_responses,player.subsession_id,player.group_id,player.participant_id,player.session_id,group.id_in_subsession,group.id,group.round_number,group.group_size,group.is_group_single,group.beta_50,group.anti_prop,group.group_responses,group.majority_response,group.positive_opinion,group.subsession_id,group.session_id,subsession.round_number,subsession.id,subsession.session_id,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,7vnaabdy,,1,49,48,Pay,MyPage,2025-10-21 19:40:41.968812,1,,,0.0,2,,0.0,1,0.0,1,,,"['q53d4hev', '708f88gj', 'ih7k9oha']",-1,-1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,4,1,1,2,4,1,N04,0,0,p00,,,0,1,1,1,1,1,04odye62,,,,,0
2,708f88gj,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.008385,1,,,0.0,3,,0.0,2,0.0,1,,,"['q53d4hev', '7vnaabdy', 'ih7k9oha']",-1,-1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,4,2,1,2,4,1,N04,0,0,p00,,,0,1,1,1,1,1,04odye62,,,,,0
3,ih7k9oha,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.020163,1,,,0.0,4,,0.0,3,0.0,1,,,"['q53d4hev', '7vnaabdy', '708f88gj']",-1,1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,4,3,1,2,4,1,N04,0,0,p00,,,0,1,1,1,1,1,04odye62,,,,,0
4,q53d4hev,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.033218,1,,,0.0,1,,0.0,4,0.0,1,,,"['7vnaabdy', '708f88gj', 'ih7k9oha']",-1,0,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,4,4,1,2,4,1,N04,0,0,p00,,,0,1,1,1,1,1,04odye62,,,,,0
5,t7vyxnr4,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.042573,1,,,0.0,1,,0.0,5,0.0,1,,,"['tp2122jz', 'r82af20r', '4cqra1nu']",-1,1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,7,5,1,3,7,1,N04,0,0,p50,,,0,1,1,1,1,1,04odye62,,,,,0
6,r82af20r,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.052579,1,,,0.0,3,,0.0,6,0.0,1,,,"['t7vyxnr4', 'tp2122jz', '4cqra1nu']",-1,0,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,7,6,1,3,7,1,N04,0,0,p50,,,0,1,1,1,1,1,04odye62,,,,,0
7,tp2122jz,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.059728,1,,,0.0,2,,0.0,7,0.0,1,,,"['t7vyxnr4', 'r82af20r', '4cqra1nu']",-1,1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,7,7,1,3,7,1,N04,0,0,p50,,,0,1,1,1,1,1,04odye62,,,,,0
8,4cqra1nu,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.066892,1,,,0.0,4,,0.0,8,0.0,1,,,"['t7vyxnr4', 'tp2122jz', 'r82af20r']",-1,1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,7,8,1,3,7,1,N04,0,0,p50,,,0,1,1,1,1,1,04odye62,,,,,0
9,90c1ebqk,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.079005,1,,,0.0,2,,0.0,9,0.0,1,,,"['myznkkrl', 'v7syvx1d', 'pmsj3m0y']",-1,-1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,10,9,1,4,10,1,N04,0,0,p25,,,0,1,1,1,1,1,04odye62,,,,,0
10,v7syvx1d,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.088804,1,,,0.0,3,,0.0,10,0.0,1,,,"['myznkkrl', '90c1ebqk', 'pmsj3m0y']",-1,1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,10,10,1,4,10,1,N04,0,0,p25,,,0,1,1,1,1,1,04odye62,,,,,0
11,myznkkrl,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.098934,1,,,0.0,1,,0.0,11,0.0,1,,,"['90c1ebqk', 'v7syvx1d', 'pmsj3m0y']",-1,0,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,10,11,1,4,10,1,N04,0,0,p25,,,0,1,1,1,1,1,04odye62,,,,,0
12,pmsj3m0y,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.109781,1,,,0.0,4,,0.0,12,0.0,1,,,"['myznkkrl', '90c1ebqk', 'v7syvx1d']",-1,-1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,10,12,1,4,10,1,N04,0,0,p25,,,0,1,1,1,1,1,04odye62,,,,,0
13,7dq83p5c,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.117780,1,,,0.0,2,,0.0,13,0.0,1,,,"['f9p6511c', 'dcmyqmnf', 'l5jtfbfs']",-1,1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,13,13,1,5,13,1,N04,0,0,p50,,,0,1,1,1,1,1,04odye62,,,,,0
14,l5jtfbfs,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.127236,1,,,0.0,4,,0.0,14,0.0,1,,,"['f9p6511c', '7dq83p5c', 'dcmyqmnf']",-1,1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,13,14,1,5,13,1,N04,0,0,p50,,,0,1,1,1,1,1,04odye62,,,,,0
15,dcmyqmnf,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.135234,1,,,0.0,3,,0.0,15,0.0,1,,,"['f9p6511c', '7dq83p5c', 'l5jtfbfs']",-1,1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,13,15,1,5,13,1,N04,0,0,p50,,,0,1,1,1,1,1,04odye62,,,,,0
16,f9p6511c,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.142243,1,,,0.0,1,,0.0,16,0.0,1,,,"['7dq83p5c', 'dcmyqmnf', 'l5jtfbfs']",-1,-1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,13,16,1,5,13,1,N04,0,0,p50,,,0,1,1,1,1,1,04odye62,,,,,0
17,jj776lrn,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.154663,1,,,0.0,3,,0.0,17,0.0,1,,,,,,0,,,,,,,1,,,1,16,17,1,6,16,1,single,1,,,,,1,1,1,1,1,1,04odye62,,,,,0
18,6viraraz,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.157894,1,,,0.0,2,,0.0,18,0.0,1,,,,,,0,,,,,,,1,,,1,16,18,1,6,16,1,single,1,,,,,1,1,1,1,1,1,04odye62,,,,,0
19,vokbiu9j,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.173787,1,,,0.0,4,,0.0,19,0.0,1,,,,,,0,,,,,,,1,,,1,16,19,1,6,16,1,single,1,,,,,1,1,1,1,1,1,04odye62,,,,,0
20,3fiusojt,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.192728,1,,,0.0,1,,0.0,20,0.0,1,,,,,,0,,,,,,,1,,,1,16,20,1,6,16,1,single,1,,,,,1,1,1,1,1,1,04odye62,,,,,0
21,kr4w2a1s,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.209225,1,,,0.0,1,,0.0,21,0.0,1,,,"['7ls27rx2', 'uao3trmk', 'd4g8nkle']",-1,-1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,19,21,1,7,19,1,N04,0,0,p00,,,0,1,1,1,1,1,04odye62,,,,,0
22,uao3trmk,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.220872,1,,,0.0,3,,0.0,22,0.0,1,,,"['kr4w2a1s', '7ls27rx2', 'd4g8nkle']",-1,1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,19,22,1,7,19,1,N04,0,0,p00,,,0,1,1,1,1,1,04odye62,,,,,0
23,d4g8nkle,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.220872,1,,,0.0,4,,0.0,23,0.0,1,,,"['kr4w2a1s', '7ls27rx2', 'uao3trmk']",-1,-1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,19,23,1,7,19,1,N04,0,0,p00,,,0,1,1,1,1,1,04odye62,,,,,0
24,7ls27rx2,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.243411,1,,,0.0,2,,0.0,24,0.0,1,,,"['kr4w2a1s', 'uao3trmk', 'd4g8nkle']",-1,-1,0,1,1,1,option C,,Interview the family first,0,-1,"[-1, -1, -1]",1,19,24,1,7,19,1,N04,0,0,p00,,,0,1,1,1,1,1,04odye62,,,,,0
1,7vnaabdy,,1,49,48,Pay,MyPage,2025-10-21 19:40:41.968812,1,,,0.0,2,,0.0,25,0.0,2,,,"['q53d4hev', '708f88gj', 'ih7k9oha']",-1,-1,0,,,,,,Interview the family first,0,99,"[0, -1, 1]",2,5,1,1,2,5,2,N04,0,0,p00,,,0,2,1,2,2,1,04odye62,,,,,0
2,708f88gj,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.008385,1,,,0.0,3,,0.0,26,0.0,2,,,"['q53d4hev', '7vnaabdy', 'ih7k9oha']",-1,-1,0,,,,,,Interview the family first,0,99,"[0, -1, 1]",2,5,2,1,2,5,2,N04,0,0,p00,,,0,2,1,2,2,1,04odye62,,,,,0
3,ih7k9oha,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.020163,1,,,0.0,4,,0.0,27,0.0,2,,,"['q53d4hev', '7vnaabdy', '708f88gj']",1,0,0,,,,,,Provide help with moving in,0,-1,"[0, -1, -1]",2,5,3,1,2,5,2,N04,0,0,p00,,,0,2,1,2,2,1,04odye62,,,,,0
4,q53d4hev,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.033218,1,,,0.0,1,,0.0,28,0.0,2,,,"['7vnaabdy', '708f88gj', 'ih7k9oha']",0,1,0,,,,,,Let the family move in,0,-1,"[-1, -1, 1]",2,5,4,1,2,5,2,N04,0,0,p00,,,0,2,1,2,2,1,04odye62,,,,,0
5,t7vyxnr4,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.042573,1,,,0.0,1,,0.0,29,0.0,2,,,"['tp2122jz', 'r82af20r', '4cqra1nu']",1,0,0,,,,,,Provide help with moving in,0,1,"[1, 0, 1]",2,8,5,1,3,8,2,N04,0,0,p50,,,0,2,1,2,2,1,04odye62,,,,,0
6,r82af20r,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.052579,1,,,0.0,3,,0.0,30,0.0,2,,,"['t7vyxnr4', 'tp2122jz', '4cqra1nu']",0,-1,0,,,,,,Let the family move in,0,1,"[1, 1, 1]",2,8,6,1,3,8,2,N04,0,0,p50,,,0,2,1,2,2,1,04odye62,,,,,0
7,tp2122jz,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.059728,1,,,0.0,2,,0.0,31,0.0,2,,,"['t7vyxnr4', 'r82af20r', '4cqra1nu']",1,1,0,,,,,,Provide help with moving in,0,1,"[1, 0, 1]",2,8,7,1,3,8,2,N04,0,0,p50,,,0,2,1,2,2,1,04odye62,,,,,0
8,4cqra1nu,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.066892,1,,,0.0,4,,0.0,32,0.0,2,,,"['t7vyxnr4', 'tp2122jz', 'r82af20r']",1,1,0,,,,,,Provide help with moving in,0,1,"[1, 1, 0]",2,8,8,1,3,8,2,N04,0,0,p50,,,0,2,1,2,2,1,04odye62,,,,,0
9,90c1ebqk,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.079005,1,,,0.0,2,,0.0,33,0.0,2,,,"['myznkkrl', 'v7syvx1d', 'pmsj3m0y']",-1,-1,0,,,,,,Interview the family first,0,99,"[0, 1, -1]",2,11,9,1,4,11,2,N04,0,0,p25,,,0,2,1,2,2,1,04odye62,,,,,0
10,v7syvx1d,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.088804,1,,,0.0,3,,0.0,34,0.0,2,,,"['myznkkrl', '90c1ebqk', 'pmsj3m0y']",1,-1,0,,,,,,Provide help with moving in,0,-1,"[0, -1, -1]",2,11,10,1,4,11,2,N04,0,0,p25,,,0,2,1,2,2,1,04odye62,,,,,0
11,myznkkrl,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.098934,1,,,0.0,1,,0.0,35,0.0,2,,,"['90c1ebqk', 'v7syvx1d', 'pmsj3m0y']",0,0,0,,,,,,Let the family move in,0,-1,"[-1, 1, -1]",2,11,11,1,4,11,2,N04,0,0,p25,,,0,2,1,2,2,1,04odye62,,,,,0
12,pmsj3m0y,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.109781,1,,,0.0,4,,0.0,36,0.0,2,,,"['myznkkrl', '90c1ebqk', 'v7syvx1d']",-1,-1,0,,,,,,Interview the family first,0,99,"[0, -1, 1]",2,11,12,1,4,11,2,N04,0,0,p25,,,0,2,1,2,2,1,04odye62,,,,,0
13,7dq83p5c,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.117780,1,,,0.0,2,,0.0,37,0.0,2,,,"['f9p6511c', 'dcmyqmnf', 'l5jtfbfs']",1,0,0,,,,,,Provide help with moving in,0,1,"[-1, 1, 1]",2,14,13,1,5,14,2,N04,0,0,p50,,,0,2,1,2,2,1,04odye62,,,,,0
14,l5jtfbfs,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.127236,1,,,0.0,4,,0.0,38,0.0,2,,,"['f9p6511c', '7dq83p5c', 'dcmyqmnf']",1,1,0,,,,,,Provide help with moving in,0,1,"[-1, 1, 1]",2,14,14,1,5,14,2,N04,0,0,p50,,,0,2,1,2,2,1,04odye62,,,,,0
15,dcmyqmnf,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.135234,1,,,0.0,3,,0.0,39,0.0,2,,,"['f9p6511c', '7dq83p5c', 'l5jtfbfs']",1,0,0,,,,,,Provide help with moving in,0,1,"[-1, 1, 1]",2,14,15,1,5,14,2,N04,0,0,p50,,,0,2,1,2,2,1,04odye62,,,,,0
16,f9p6511c,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.142243,1,,,0.0,1,,0.0,40,0.0,2,,,"['7dq83p5c', 'dcmyqmnf', 'l5jtfbfs']",-1,0,0,,,,,,Interview the family first,0,1,"[1, 1, 1]",2,14,16,1,5,14,2,N04,0,0,p50,,,0,2,1,2,2,1,04odye62,,,,,0
17,jj776lrn,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.154663,1,,,0.0,3,,0.0,41,0.0,2,,,,,,0,,,,,,,0,,,2,17,17,1,6,17,2,single,,,,,,0,2,1,2,2,1,04odye62,,,,,0
18,6viraraz,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.157894,1,,,0.0,2,,0.0,42,0.0,2,,,,,,0,,,,,,,0,,,2,17,18,1,6,17,2,single,,,,,,0,2,1,2,2,1,04odye62,,,,,0
19,vokbiu9j,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.173787,1,,,0.0,4,,0.0,43,0.0,2,,,,,,0,,,,,,,0,,,2,17,19,1,6,17,2,single,,,,,,0,2,1,2,2,1,04odye62,,,,,0
20,3fiusojt,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.192728,1,,,0.0,1,,0.0,44,0.0,2,,,,,,0,,,,,,,0,,,2,17,20,1,6,17,2,single,,,,,,0,2,1,2,2,1,04odye62,,,,,0
21,kr4w2a1s,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.209225,1,,,0.0,1,,0.0,45,0.0,2,,,"['7ls27rx2', 'uao3trmk', 'd4g8nkle']",-1,-1,0,,,,,,Interview the family first,0,-1,"[-1, 1, -1]",2,20,21,1,7,20,2,N04,0,0,p00,,,0,2,1,2,2,1,04odye62,,,,,0
22,uao3trmk,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.220872,1,,,0.0,3,,0.0,46,0.0,2,,,"['kr4w2a1s', '7ls27rx2', 'd4g8nkle']",1,-1,0,,,,,,Provide help with moving in,0,-1,"[-1, -1, -1]",2,20,22,1,7,20,2,N04,0,0,p00,,,0,2,1,2,2,1,04odye62,,,,,0
23,d4g8nkle,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.220872,1,,,0.0,4,,0.0,47,0.0,2,,,"['kr4w2a1s', '7ls27rx2', 'uao3trmk']",-1,0,0,,,,,,Interview the family first,0,-1,"[-1, -1, 1]",2,20,23,1,7,20,2,N04,0,0,p00,,,0,2,1,2,2,1,04odye62,,,,,0
24,7ls27rx2,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.243411,1,,,0.0,2,,0.0,48,0.0,2,,,"['kr4w2a1s', 'uao3trmk', 'd4g8nkle']",-1,1,0,,,,,,Interview the family first,0,-1,"[-1, 1, -1]",2,20,24,1,7,20,2,N04,0,0,p00,,,0,2,1,2,2,1,04odye62,,,,,0
