participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.id,player._payoff,player.round_number,player._role,player.feedback_final,player.subsession_id,player.group_id,player.participant_id,player.session_id,group.id_in_subsession,group.id,group.round_number,group.subsession_id,group.session_id,subsession.round_number,subsession.id,subsession.session_id,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,7vnaabdy,,1,49,48,Pay,MyPage,2025-10-21 19:40:41.968812,1,,,0.0,1,,0.0,1,0.0,1,,,1,1,1,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
2,708f88gj,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.008385,1,,,0.0,2,,0.0,2,0.0,1,,,1,1,2,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
3,ih7k9oha,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.020163,1,,,0.0,3,,0.0,3,0.0,1,,,1,1,3,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
4,q53d4hev,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.033218,1,,,0.0,4,,0.0,4,0.0,1,,,1,1,4,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
5,t7vyxnr4,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.042573,1,,,0.0,5,,0.0,5,0.0,1,,,1,1,5,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
6,r82af20r,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.052579,1,,,0.0,6,,0.0,6,0.0,1,,,1,1,6,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
7,tp2122jz,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.059728,1,,,0.0,7,,0.0,7,0.0,1,,,1,1,7,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
8,4cqra1nu,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.066892,1,,,0.0,8,,0.0,8,0.0,1,,,1,1,8,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
9,90c1ebqk,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.079005,1,,,0.0,9,,0.0,9,0.0,1,,,1,1,9,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
10,v7syvx1d,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.088804,1,,,0.0,10,,0.0,10,0.0,1,,,1,1,10,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
11,myznkkrl,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.098934,1,,,0.0,11,,0.0,11,0.0,1,,,1,1,11,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
12,pmsj3m0y,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.109781,1,,,0.0,12,,0.0,12,0.0,1,,,1,1,12,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
13,7dq83p5c,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.117780,1,,,0.0,13,,0.0,13,0.0,1,,,1,1,13,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
14,l5jtfbfs,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.127236,1,,,0.0,14,,0.0,14,0.0,1,,,1,1,14,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
15,dcmyqmnf,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.135234,1,,,0.0,15,,0.0,15,0.0,1,,,1,1,15,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
16,f9p6511c,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.142243,1,,,0.0,16,,0.0,16,0.0,1,,,1,1,16,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
17,jj776lrn,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.154663,1,,,0.0,17,,0.0,17,0.0,1,,,1,1,17,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
18,6viraraz,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.157894,1,,,0.0,18,,0.0,18,0.0,1,,,1,1,18,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
19,vokbiu9j,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.173787,1,,,0.0,19,,0.0,19,0.0,1,,,1,1,19,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
20,3fiusojt,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.192728,1,,,0.0,20,,0.0,20,0.0,1,,,1,1,20,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
21,kr4w2a1s,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.209225,1,,,0.0,21,,0.0,21,0.0,1,,,1,1,21,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
22,uao3trmk,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.220872,1,,,0.0,22,,0.0,22,0.0,1,,,1,1,22,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
23,d4g8nkle,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.220872,1,,,0.0,23,,0.0,23,0.0,1,,,1,1,23,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
24,7ls27rx2,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.243411,1,,,0.0,24,,0.0,24,0.0,1,,,1,1,24,1,1,1,1,1,1,1,1,1,04odye62,,,,,0
